p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,pl_mw,ql_mvar,i_from_ka,i_to_ka,i_ka,vm_from_pu,va_from_degree,vm_to_pu,va_to_degree,loading_percent
-15056.365318980426,1199.5969688432278,15137.820655014446,-438.0843017154116,81.45533603401964,761.5126671278163,21.266369673405947,21.274873499305762,21.274873499305762,1.0251330599701707,1.6631458951240243,1.0274425249311028,4.983151029316422,171.57156047827226
-15056.365318980426,1159.2004577791442,15137.820655014448,-478.6630318870227,81.45533603402146,680.5374258921215,21.261927916475894,21.276598849293254,21.276598849293254,1.0251330599701707,1.6631458951240243,1.0274425249311028,4.983151029316422,194.84064880305178
-25364.787531635782,853.4703218569329,25521.120374627066,1183.340765532534,156.33284299128354,2036.811087389467,35.733543149806486,35.731783386337476,35.733543149806486,1.0251330599701707,1.6631458951240243,1.032026313295598,6.679393046959427,294.8312141073143
-25361.9629195406,879.2505176951499,25520.571793581177,1156.8989424055885,158.60887404057576,2036.1494601007385,35.73080759607495,35.72932316616133,35.73080759607495,1.0251330599701707,1.6631458951240243,1.032026313295598,6.679393046959427,294.8086435319716
5738.263792149645,-212.30331021503446,-5732.409078429557,157.38731101374435,5.854713720088512,-54.915999201290106,7.989156567936785,7.982599043906273,7.989156567936785,1.037423292402706,9.134451649952235,1.0368975969669143,8.220658071671394,49.807709276413874
5738.263792149645,-212.30331021503446,-5732.409078429557,157.38731101374435,5.854713720088512,-54.915999201290106,7.989156567936785,7.982599043906273,7.989156567936785,1.037423292402706,9.134451649952235,1.0368975969669143,8.220658071671394,49.807709276413874
1681.2867768078495,81.49670722956824,-1681.0886669443628,-153.80342580072153,0.19810986348670667,-72.30671857115328,2.3426380816111005,2.350147069746297,2.350147069746297,1.0371118428091965,8.342545791666623,1.0367762122433584,8.174038826201949,13.143999271511728
1681.2867768078495,81.49670722956824,-1681.0886669443628,-153.80342580072153,0.19810986348670667,-72.30671857115328,2.3426380816111005,2.350147069746297,2.350147069746297,1.0371118428091965,8.342545791666623,1.0367762122433584,8.174038826201949,13.143999271511728
18990.029533125246,-423.03688570248687,-18922.73609802933,-799.7854405116841,67.2934350959149,-1222.822326214171,26.54637456880394,26.57852386882708,26.57852386882708,1.032779329588345,8.836932664842543,1.0285372450388812,5.635728246561758,95.05909824330143
25148.133960660678,253.44408380641107,-25032.47228521119,695.9132780569007,115.66167544948621,949.3573618633118,35.14792273944931,35.14235510078044,35.14792273944931,1.032779329588345,8.836932664842543,1.0285372450388812,5.635728246561758,151.49966698038494
11201.26257352236,201.16706731344152,-11166.975890237612,141.88187241789205,34.28668328474669,343.0489397313336,15.626717704514165,15.626834303946762,15.626834303946762,1.034781412951029,11.1398721923074,1.0315232084548058,9.22189602997246,128.9342764352043
11201.262573522366,117.68963755606546,-11166.975890237618,58.92930391742357,34.286683284748506,176.61894147348903,15.625060594232224,15.625790708988724,15.625790708988724,1.034781412951029,11.1398721923074,1.0315232084548058,9.22189602997246,128.92566591574857
4897.112919436177,119.67080318320637,-4882.027326931436,-330.3075165770541,15.085592504741726,-210.63671339384774,6.851069348923719,6.874067501907512,6.874067501907512,1.032026313295598,6.679393046959427,1.0274425249311028,4.983151029316422,59.25920260265097
4897.112919436172,165.10704404979725,-4882.0273269314375,-285.2739933336327,15.08559250473445,-120.16694928383544,6.852916229970516,6.870086914585666,6.870086914585666,1.032026313295598,6.679393046959427,1.0274425249311028,4.983151029316422,59.22488719470401
-5594.286968656514,-1212.8265060253757,5598.529002539244,1084.8283184311547,4.242033882730539,-127.99818759422101,8.005840197999607,7.95668002199507,8.005840197999607,1.032026313295598,6.679393046959427,1.034487602527995,7.132617414388834,42.314165951372125
-5589.478938601531,-1258.248928511659,5593.381929331511,1122.1105631935818,3.902990729980047,-136.13836531807715,8.01297993786047,7.9596979188388,8.01297993786047,1.032026313295598,6.679393046959427,1.034487602527995,7.132617414388834,42.351902419981336
-20880.894267548993,347.8635777637169,20910.071285242484,-229.96287081519586,29.177017693491507,117.90070694852102,29.207740603513738,29.20875607100539,29.20875607100539,1.032026313295598,6.679393046959427,1.0333515497853847,7.147798321614873,182.09947675190395
-20880.894267548993,347.8635777637169,20910.071285242484,-229.96287081519586,29.177017693491507,117.90070694852102,29.207740603513738,29.20875607100539,29.20875607100539,1.032026313295598,6.679393046959427,1.0333515497853847,7.147798321614873,182.09947675190395
1022.921762913431,39.902052714480426,-1022.7344410116337,-152.01393457742304,0.18732190179730424,-112.11188186294262,1.4370728542348912,1.452545633368915,1.452545633368915,1.0281895319100782,5.315024516983811,1.0274425249311028,4.983151029316422,9.76173140704916
871.5978069355511,-156.69406330426045,-870.2224133156367,99.69783673409924,1.3753936199144619,-56.99622657016121,1.243167150981034,1.2305059006945929,1.243167150981034,1.0281895319100782,5.315024516983811,1.0274425249311028,4.983151029316422,34.53242086058428
6186.200675890088,145.20831429748415,-6181.7183648773,-223.9620477597765,4.482311012788159,-78.75373346229236,8.683663247486882,8.68992241001409,8.68992241001409,1.0285372450388812,5.635728246561758,1.0274425249311028,4.983151029316422,54.31201506258806
18670.969479291467,30.646631192897985,-18651.196985432474,13.16368160125512,19.772493858992675,43.810312794153106,26.201539682372744,26.20165123825658,26.20165123825658,1.0285372450388812,5.635728246561758,1.0274425249311028,4.983151029316422,81.88016011955182
7096.789184587094,-318.52059872220843,-7093.395405676161,37.02312414706296,3.3937789109322694,-281.4974745751455,9.969152736323428,9.957866235710359,9.969152736323428,1.0285372450388812,5.635728246561758,1.0281895319100782,5.315024516983811,34.51922692632766
7100.070791436943,-244.10160371833433,-7096.853234450597,48.03993167692147,3.217556986346608,-196.06167204141286,9.969618800607341,9.962812963259518,9.969618800607341,1.0285372450388812,5.635728246561758,1.0281895319100782,5.315024516983811,34.52084072232459
10583.784639282747,99.61514855939595,-10568.214762472602,-409.69599895407487,15.569876810144706,-310.0808503946789,14.701706229898038,14.712215643417498,14.712215643417498,1.0391347551631676,12.737856891243725,1.0375977654572397,12.718813271234643,116.76361621759919
10583.784639282876,-21.14979966259807,-10568.214762472464,-530.1039632340812,15.569876810412097,-551.2537628966793,14.701084437684813,14.719655652547065,14.719655652547065,1.0391347551631676,12.737856891243725,1.0375977654572397,12.718813271234643,101.93667349409326
400.7075311570549,-3.5894743148534474,-400.5365076846692,-111.41967777493578,0.17102347238574112,-115.00915208978923,0.5566118390492735,0.5799061485985201,0.5799061485985201,1.0391347551631676,12.737856891243725,1.034781412951029,11.1398721923074,10.582228989024088
400.7075311570549,-3.5894743148534474,-400.5365076846692,-111.41967777493578,0.17102347238574112,-115.00915208978923,0.5566118390492735,0.5799061485985201,0.5799061485985201,1.0391347551631676,12.737856891243725,1.034781412951029,11.1398721923074,10.582228989024088
