,p_from_mw,q_from_mvar,p_to_mw,q_to_mvar,pl_mw,ql_mvar,i_from_ka,i_to_ka,i_ka,vm_from_pu,va_from_degree,vm_to_pu,va_to_degree,loading_percent
81,10585.06279,2.510598089,-10551.82651,-253.7822494,33.23627917,-251.2716513,15.19115639,15.19568723,15.19568723,1.005731372,26.71349894,1.002564333,26.67065019,210.4665822
49,-12307.2684,176.7529501,12347.88026,409.4239469,40.61185381,586.176897,17.46053124,17.45971046,17.46053124,1.017485863,14.69535681,1.021347093,17.70249819,217.7123597
4,-9997.444316,561.6759395,10046.58562,-105.6816307,49.1413081,455.9943088,14.16628089,14.16862408,14.16862408,1.020227094,14.01003285,1.023515019,16.90759724,222.0787474
7,-9997.444316,561.6759395,10046.58562,-105.6816307,49.1413081,455.9943088,14.16628089,14.16862408,14.16862408,1.020227094,14.01003285,1.023515019,16.90759724,222.0787474
29,17252.62155,-291.7744978,-17129.65947,3295.287862,122.9620755,3003.513364,24.69779963,24.68418991,24.69779963,1.008412712,10.22285645,1.02,0,224.117964
11,-4580.801781,623.4578104,4606.662869,-283.1833342,25.86108782,340.2744761,6.61617096,6.619322078,6.619322078,1.008555408,7.084432121,1.006401613,11.59363846,239.8305101
80,10585.06279,59.07343162,-10551.82651,-197.5750866,33.23627917,-138.501655,15.19139253,15.19395693,15.19395693,1.005731372,26.71349894,1.002564333,26.67065019,241.1739196
53,11570.44524,-1698.805991,-11529.81032,2173.082121,40.63492427,474.2761304,16.8039891,16.79119585,16.8039891,1.004496329,9.665722282,1.008555408,7.084432121,263.3854091
66,11179.86893,-235.4797222,-11106.93123,1017.438123,72.93769687,781.9584007,16.11697088,16.11577724,16.11697088,1.001449344,23.30757936,0.998933891,19.20481971,265.9566152
67,11179.86893,-274.5727949,-11106.93123,978.5411924,72.93769687,703.9683975,16.11825583,16.11074753,16.11825583,1.001449344,23.30757936,0.998933891,19.20481971,265.9778189
52,11570.44524,-1697.13103,-11529.81032,2174.770647,40.63492427,477.6396172,16.80363965,16.79164359,16.80363965,1.004496329,9.665722282,1.008555408,7.084432121,268.4287484
40,8247.356739,88.85355272,-8204.465525,364.4355608,42.89121466,453.2891135,11.83850171,11.83664744,11.83850171,1.005593884,27.00422342,1.001449344,23.30757936,294.4900923
28,17252.62155,-291.7744978,-17129.65947,3295.287862,122.9620755,3003.513364,24.69779963,24.68418991,24.69779963,1.008412712,10.22285645,1.02,0,307.9526139
65,25075.08387,-1536.138123,-24830.24233,4287.892538,244.8415398,2751.754415,36.17417992,36.13848484,36.17417992,1.002389489,18.37021677,1.006401613,11.59363846,311.8463786
56,-14804.69149,3804.723252,14973.07358,-2054.239986,168.3820866,1750.483267,21.61726694,21.63223145,21.63223145,1.020624427,3.420538293,1.008412712,10.22285645,348.9069588
13,-7487.176902,803.262387,7521.589146,-545.5616951,34.41224438,257.7006919,10.77662629,10.80820063,10.80820063,1.008555408,7.084432121,1.007105594,10.92370989,360.2733543
16,17535.18603,-2057.014416,-17313.98535,4030.196772,221.2006762,1973.182356,25.17489566,25.15556872,25.17489566,1.01225492,6.664681057,1.02,0,363.7990702
15,17623.00181,-1606.645545,-17453.4369,3608.80757,169.5649091,2002.162025,25.23287494,25.22033622,25.23287494,1.01225492,6.664681057,1.02,0,364.6369211
72,-20783.22549,1519.53823,20843.21585,-1194.532248,59.99035625,325.0059821,29.61374111,29.61609333,29.61609333,1.015679644,13.72394844,1.017485863,14.69535681,369.2779716
73,-20783.22549,1519.53823,20843.21585,-1194.532248,59.99035625,325.0059821,29.61374111,29.61609333,29.61609333,1.015679644,13.72394844,1.017485863,14.69535681,369.2779716
12,-7692.56406,1017.24505,7740.269584,-737.3194262,47.70552406,279.9256243,11.10491197,11.14350904,11.14350904,1.008555408,7.084432121,1.007105594,10.92370989,371.4503014
57,-14804.69149,3784.702274,14973.07358,-2073.784731,168.3820866,1710.917543,21.61023685,21.63605164,21.63605164,1.020624427,3.420538293,1.008412712,10.22285645,396.264682
24,13533.76685,-729.8379003,-13307.42333,2881.776664,226.3435204,2151.938764,19.5835717,19.56485802,19.5835717,0.998933891,19.20481971,1.004496329,9.665722282,487.1535248
25,13533.76685,-729.8379003,-13307.42333,2881.776664,226.3435204,2151.938764,19.5835717,19.56485802,19.5835717,0.998933891,19.20481971,1.004496329,9.665722282,487.1535248
9,23740.442,-3630.381508,-23383.55524,6444.789916,356.8867622,2814.408408,34.37065618,34.32323551,34.37065618,1.008555408,7.084432121,1.02,0,496.685783
8,23999.83543,-2402.357525,-23789.68338,5364.550788,210.1520484,2962.193262,34.5185723,34.50946275,34.5185723,1.008555408,7.084432121,1.02,0,498.8232991
59,-25146.14736,4732.579637,25471.63807,-251.6724818,325.490709,4480.907155,36.18622084,36.19934445,36.19934445,1.020624427,3.420538293,1.015679644,13.72394844,597.3489182
58,-25152.85979,4707.209669,25473.67972,-225.4736583,320.8199302,4481.736011,36.18893283,36.201897,36.201897,1.020624427,3.420538293,1.015679644,13.72394844,597.3910396
21,-43434.14638,11012.18553,44042.20542,-8455.126132,608.0590428,2557.059403,63.40721964,63.42224266,63.42224266,1.02,0,1.020624427,3.420538293,635.4934134
20,-43434.14638,11012.18553,44042.20542,-8455.126132,608.0590428,2557.059403,63.40721964,63.42224266,63.42224266,1.02,0,1.020624427,3.420538293,709.4210588
22,-32448.71176,9161.573614,33580.58276,-1387.80231,1131.871008,7773.771304,47.71241814,47.73465727,47.73465727,1.02,0,1.016258906,13.5670404,840.3988955
23,-32732.51352,8493.702012,33697.63765,-660.1913563,965.1241305,7833.510656,47.85295555,47.86938023,47.86938023,1.02,0,1.016258906,13.5670404,842.7707786
